Respondent,Age,Gender,COVID-19 Jab?,Race,Any reason for Hesitation,Reasons for Hesitation,Hesistation Status,Trust Level,Safety Level,Confidence Level,Accessibility ,Obstacles
Student,20,2,0,White,1,"I have no hesitation in taking the vaccine, but I know many other people that think we don't have enough research on the vaccine, or that it could make them sick. I have researched the vaccines enough to know that this is not the case.",,Mostly trust,Very safe,Somewhat confident,Scheduling options... I work and have classes. ,My work/school schedules can be hectic
Student,52,2,0,White,1,"I've ben a nurse for over 20 years, several years of that as a Dept of the Army nurse. My experience and research tell me that more time and observation / study of recipients is necessary regarding safety, efficacy and long term effects.",,Do not trust at all,Not safe at all,Only slightly confident,nothing. I do not intend to be vaccinated at this time,N/A
Student,21,2,0,White,,,3,,,,,
Student,20,2,1,White,,,0,,,,,
Staff,19,1,1,White,2,,0,Mostly trust,Very safe,Very confident,Nothing ,Nothing 
Student,19,4,0,White,1,"Conspiracy theories, none that I personally believe in.",,Somewhat trust,Very safe,Somewhat confident,Mode of transportation or close proximity to campus.,Distance to vaccination center.
Student,20,2,0,"Hispanic or Latinx,White,Biracial / Multiracial / Mixed",3,,3,Mostly trust,Very safe,Very confident,Getting the vaccine on campus would be ideal for me because I donâ€™t have a car. ,"The vaccine is available to me right now, but it is difficult for me to get it because I donâ€™t have transportation available. I have to wait until there are enough vaccines available on campus before I can get it. "
Student,23,2,0,White,3,,3,Mostly trust,Mostly safe,Somewhat confident,"Scheduling, like with the rapid testing, as opposed to ""pop-ups"" or walk-ins, where the volume of people seeking the vaccine at the same time I am is unknown.",*Only* making appointments available on weekdays or before 5pm. 
Student,56,2,0,White,,,3,,,,,
Staff,20,2,1,White,,,0,,,,,
Student,18,2,1,White,1,"The side-effects of the vaccine, the unknown long-term effects, and the fact that the development was rushed.",,Do not trust at all,Mostly safe,Not sure,If I were to change my mind and feel it is necessary for me to get it.,Personally I don't have a strong reason to get the vaccine.
Student,40,2,0,White,,,3,,,,,
Staff,19,2,1,White,2,,0,Mostly trust,Very safe,Somewhat confident,I would feel better about being around others,
Student,54,2,0,White,,,3,,,,,
Staff,24,2,1,White,,,0,,,,,
Student,20,2,1,White,1,Severe Side Effects like fever ,,Mostly trust,Mostly safe,Very confident,Time off from school/excused absence from class ,"Worry about side effects causing me to not work for a day and falling behind on schoolwork, never to catch up again"
Student,21,2,0,White,1,Adverse reactions,,Do not trust at all,Not safe at all,Not at all confident,,
Student,20,2,0,White,,,3,,,,,
Student,60,2,1,White,1,I have heard that the Johnson and Johnson one is made from aborted babies cells.,,Mostly trust,Mostly safe,Somewhat confident,If their is an alternative to the Johnson and Johnson.,If the Johnson and Johnson one is the only one available.
Staff,18,2,0,Asian,2,,3,Mostly trust,Mostly safe,Very confident,accessibility ,accessibility 
Student,19,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,I am already signed up to get one! Emails helped,Not knowing where to go or not being notified
Student,,2,0,White,,,3,,,,,
Student,38,1,1,White,3,,0,Not sure,Not sure,Not sure,"Doesn't matter, I won't take it","Doesn't matter, I won't take it"
Student,19,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Able to get it on campus through a drive thru,N/A
Student,36,2,0,Black or African American,1,"I'm not sure the Johnson & Johnson vaccine is as good as the Pfizer or Moderna for preventing COVID, but it is better at preventing death. I felt I had a better understanding of how the Pfizer and Moderna vaccines ""work"" and so I'm hesitant to take the J&J as it feels ""newer"". Ultimately I've decided to take whichever is available the next time I'm given the opportunity to schedule an appointment. But I hesitated this week and missed an opportunity from the health department to get vaccinated.",,Mostly trust,Mostly safe,Somewhat confident,Getting the vaccine on campus.,"Having to ""compete"" with other community members."
Staff,19,2,0,White,1,People getting very sick after getting it. People not wearing masks after vaccinations without knowing how effective it is.,,Mostly trust,Mostly safe,Somewhat confident,On campus vaccinations,Scheduling and the fact that I've had COVID before within the last 3 months. 
Student,19,3,0,White,2,,3,Completely trust,Very safe,Very confident,Ability to make an appointment with a weekâ€™s notice,Too little time to schedule to get vaccine
Student,29,3,0,White,,,3,,,,,
Student,20,3,1,White,,,0,,,,,
Student,19,1,1,White,2,,0,Not sure,Very safe,Somewhat confident,It would be easier if I could get the vaccine closer to my home,It would be more difficult if I had to get the vaccine far away from home
Student,21,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,"If it were on campus or near campus, it would be fine","Only if I had to walk a long way, or stand very close to others"
Student,18,1,0,White,2,,3,Somewhat trust,Mostly safe,Not at all confident,Accessability,Availability
Student,18,2,0,"Asian,White,Biracial / Multiracial / Mixed",2,,3,Mostly trust,Mostly safe,Somewhat confident,It being walking distance from my dorm,Being far away
Student,43,2,0,"Asian,White,Biracial / Multiracial / Mixed",,,3,,,,,
Staff,19,2,1,White,1,Fertility Problems in Women,,Mostly trust,Mostly safe,Very confident,If it was provided by the school,If I was home 
Student,,2,0,White,2,,3,Completely trust,Mostly safe,Very confident,If App State provided the vaccine,Not sure
Student,20,2,0,White,,,3,,,,,
Student,yes,7,1,Other,1,Everyone has a choice,,Do not trust at all,Not sure,Not at all confident,n/a,n/a
Staff,20,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,Local distribution sites ,Scheduling 
Student,21,2,0,White,2,,3,Mostly trust,Very safe,Very confident,Where the vaccine is available for me to receive it ,Where the vaccine might be available 
Student,,2,0,White,,,3,,,,,
Staff,19,2,1,White,,,0,,,,,
Student,19,2,1,White,2,,0,Mostly trust,Very safe,Very confident,A place to get it on campus ,Long lines
Student,20,2,0,White,,,3,,,,,
Student,,1,1,"Hispanic or Latinx,White",1,Media stigma makes it seem negative,,Somewhat trust,Mostly safe,Somewhat confident,Guarantees of Heath ,Large lines and wait times 
Student,20,1,0,"Hispanic or Latinx,White",,,3,,,,,
Staff,20,2,1,White,2,,0,Completely trust,Very safe,Very confident,make it so that I can schedule an appointment for a specific date and time,having to wait in long lines just hoping I get the vaccine before they run out
Student,18,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,,
Student,19,2,0,White,3,,3,Mostly trust,Mostly safe,Somewhat confident,if I were on campus to receive the vaccination and possibly the times the clinic is open,the times of the clinic being open conflicting with the times that I have to be in class
Student,19,2,0,White,1,That there were side effects with the vaccine,,Mostly trust,Very safe,Somewhat confident,Having it dispensed at a nearby location,Having it dispensed way off campus/ somewhere not easy to get to
Student,18,1,0,White,1,There has not been enough testing to fully conclude side and long-term effects .,,Do not trust at all,Mostly safe,Only slightly confident,If the Army required it.,Nothing
Student,20,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,Research done behind the vaccine,none
Student,20,2,0,White,2,,3,Completely trust,Very safe,Very confident,Someone letting me know how and where to go to get it!! Make information available via email ,Not knowing that it was available!
Student,21,2,0,White,,,3,,,,,
Student,18,2,1,White,,,0,,,,,
Student,,2,1,White,2,,0,Mostly trust,Very safe,Very confident,N/A,N/A
Student,18,2,0,White,2,,3,Somewhat trust,Mostly safe,Very confident,"accessability to the distribution center, close to campus or on a bus route for on-capmus students","ability to get to distribution center, knowing when i would be eligible to receive it "
Student,63,1,0,White,1,People dieing,,Do not trust at all,Not sure,Somewhat confident,?,?
Staff,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,If it was close to where I am living ,If it was far away or complicated to schedule
Student,51,2,0,White,,,3,,,,,
Staff,43,2,1,White,,,0,,,,,
Student,18,2,1,White,,,0,,,,,
Student,19,6,1,Asian,2,,0,Mostly trust,Mostly safe,Somewhat confident,on campus vaccine sites,lengthy sign up process and off campus location 
Student,20,2,0,White,1,Future pregnancy effects. There cannot be any tests about FUTURE fertility and I want to wait a bit to get it,,Do not trust at all,Mostly safe,Not sure,Nothing ,I donâ€™t want it yet 
Student,18,2,0,White,,,3,,,,,
Student,42,2,1,White,1,Allergic reactions.  J&J Vaccine made with aborted fetus cells.,,Mostly trust,Mostly safe,Somewhat confident,Making sure I don't get an allergic reaction.,Fear of an allergic reaction.
Staff,19,1,0,American Indian or Alaska Native,2,,3,Mostly trust,Mostly safe,Somewhat confident,Location,Trust
Student,18,2,0,White,1,side effects ,,Somewhat trust,Mostly safe,Only slightly confident,,
Student,,2,0,White,3,,3,Mostly trust,Mostly safe,Somewhat confident,,
Student,50,2,0,White,,,3,,,,,
Staff,,2,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,email notification,n/a
Staff,20,2,0,White,1,it was made really fast,,Somewhat trust,Not sure,Somewhat confident,if you didnt have to make an appointment ,having to make an appointment 
Student,24,1,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,"knowing people who need it (at risk population, older folks, frontline workers) got it first",Fear of needles
Student,54,1,0,White,,,3,,,,,
Staff,18,2,1,White,1,not 100% safe,,Somewhat trust,Mostly safe,Somewhat confident,"easy access, close to campus ","far from campus, not easy access "
Student,20,2,0,White,,,3,,,,,
Student,18,1,1,Hispanic or Latinx,2,,0,Completely trust,Very safe,Very confident,Free of charge somewhere nearby,Nothinh
Student,59,2,0,White,2,,3,Do not trust at all,Not safe at all,Only slightly confident,I'm just not interested in getting the vaccine right now. ,N/A 
Staff,52,2,0,White,,,3,,,,,
Staff,,1,1,White,2,,0,Completely trust,Very safe,Very confident,Good communication,If I had to travel a long way
Staff,19,2,0,"Hispanic or Latinx,White",1,My families negative beliefs towards it and claim that if I get it I will go to hell because apparently it was invented by Satanists or something. ,,Mostly trust,Mostly safe,Very confident,"If the records of me getting the vaccine go onto my insurance (and my mother who has access to my insurance info) sees it, I will be in a lot of trouble with my family. So maybe maybe it like anonymous or something. ",The records of me getting the vaccine showing up on my insurance. 
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,"Email updates, easier scheduling, a variety of time slots ","I have a tight schedule, transportation to the vaccine site would be complicated, limited appointments "
Student,26,2,0,"Hispanic or Latinx,White",2,,3,Not sure,Not sure,Somewhat confident,nothing.,scheduling 
Student,20,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,More transparency/advice on exactly how I should schedule and prepare for vaccine.,"Do not have insurance card with me, but unsure if that is necessary"
Student,,2,0,White,,,3,,,,,
Staff,20,2,1,White,2,,0,Completely trust,Very safe,Very confident,On campus location to get vaccine,Not many time slots to get vaccine
Student,20,2,0,White,1,"Some unscientific ""research"" on social media. ",,Mostly trust,Mostly safe,Somewhat confident,,Scheduling
Student,,2,0,White,,,3,,,,,
Staff,18,2,1,White,1,"you are contagious with covid for 30 days, it can cause you to be infertile in the future, i can cause you to become autistic or turn into a vegetable, there is aborted babies and all types of bad stuff that they donâ€™t tell you about ",,Do not trust at all,Not safe at all,Only slightly confident,i will NEVER get it,i will NEVER get it
Student,20,2,0,"Hispanic or Latinx,White,Biracial / Multiracial / Mixed",1,The side affects afterwards,,Mostly trust,Mostly safe,Somewhat confident,free,not free
Student,20,2,0,"Hispanic or Latinx,White,Biracial / Multiracial / Mixed",,,3,,,,,
Student,22,1,1,White,2,,0,Mostly trust,Very safe,Very confident,,
Staff,58,1,0,White,,,3,,,,,
Staff,20,2,1,White,2,,0,Mostly trust,Very safe,Very confident,,
Student,20,2,0,White,1,,3,Do not trust at all,Mostly safe,Only slightly confident,,
